REALPROP,FSASSET,FSSSI,FSNELDER,TANF_IND,FSUSIZE,FSEARN,FSWAGES,RAWNET,FSSLTDE2,FSSTDDE2,FSTOTDED,FSNONCIT,FSSLTDED,WRK_POOR,LIQRESOR,RAWERND,TPOV,FSGRINC,HWGT,FSERNDED,FSTOTDE2,CERTHHSZ,FSERNDE2,FSNETINC,FSDIS,FSGA,SHELDED,FSTANF,FSUNEARN,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,551.0,0.0,417.0,0.0,0.0,0.0,13.0,147.0,705.4012962642041,0.0,147.0,2.0,0.0,0.0,0.0,0.0,417.0,0.0,147.0,0.0,1.0,0.0
0.0,0.0,18.0,2.0,0.0,2.0,0.0,0.0,790.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,84.0,924.0,962.9561307354808,0.0,134.0,2.0,0.0,790.0,0.0,0.0,0.0,0.0,924.0,1.0,1.0,0.0
0.0,267.0,0.0,0.0,0.0,3.0,0.0,0.0,188.0,92.0,201.0,226.0,0.0,92.0,0.0,267.0,0.0,30.0,414.0,765.4373824019225,0.0,226.0,3.0,0.0,188.0,0.0,0.0,92.0,0.0,414.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,255.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,389.0,788.258696840136,0.0,134.0,3.0,0.0,255.0,0.0,0.0,0.0,389.0,389.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,134.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,711.655694960853,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,2.0,1013.0,1013.0,734.0,173.0,201.0,509.0,0.0,173.0,1.0,0.0,203.0,113.0,1244.0,945.5684625756128,202.0,509.0,2.0,303.0,735.0,0.0,231.0,173.0,0.0,231.0,0.0,1.0,0.0
0.0,0.0,603.0,0.0,0.0,1.0,0.0,0.0,5.0,413.0,201.0,547.0,0.0,413.0,0.0,0.0,0.0,74.0,603.0,730.1300923602863,0.0,547.0,1.0,0.0,56.0,1.0,0.0,463.0,0.0,603.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,747.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,108.0,881.0,869.2314375616088,0.0,134.0,1.0,0.0,747.0,1.0,0.0,0.0,0.0,881.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,536.0,198.0,201.0,386.0,0.0,198.0,0.0,0.0,0.0,113.0,923.0,869.2314375616089,0.0,386.0,1.0,0.0,537.0,0.0,0.0,198.0,0.0,923.0,0.0,1.0,0.0
0.0,0.0,156.0,0.0,1.0,2.0,0.0,0.0,677.0,129.0,201.0,263.0,0.0,129.0,0.0,0.0,0.0,85.0,940.0,926.0073359137072,0.0,263.0,2.0,0.0,677.0,1.0,0.0,129.0,231.0,940.0,1.0,1.0,0.0
0.0,0.0,247.0,1.0,0.0,2.0,0.0,0.0,370.0,119.0,201.0,253.0,0.0,119.0,0.0,0.0,0.0,57.0,623.0,826.0282440535424,0.0,253.0,2.0,0.0,370.0,0.0,0.0,119.0,0.0,623.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,743.1708434696594,0.0,134.0,1.0,0.0,97.0,0.0,231.0,0.0,0.0,231.0,1.0,1.0,0.0
0.0,210.0,0.0,0.0,0.0,3.0,1625.0,1625.0,1166.0,0.0,134.0,459.0,0.0,0.0,1.0,210.0,325.0,117.0,1625.0,1084.9357846450434,325.0,459.0,3.0,325.0,1166.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,743.1708434696594,0.0,134.0,1.0,0.0,97.0,0.0,231.0,0.0,0.0,231.0,1.0,1.0,0.0
0.0,0.0,523.0,0.0,1.0,7.0,0.0,0.0,714.0,250.0,279.0,436.0,1.0,250.0,0.0,0.0,0.0,46.0,1150.0,1029.4897706171243,0.0,436.0,7.0,0.0,714.0,1.0,0.0,250.0,294.0,1150.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,134.0,0.0,0.0,0.0,0.0,0.0,9.0,100.0,705.4012962642041,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0
0.0,2.0,25.0,0.0,0.0,1.0,0.0,0.0,151.0,337.0,201.0,471.0,0.0,337.0,0.0,2.0,0.0,76.0,623.0,761.6452408870326,0.0,471.0,1.0,0.0,152.0,1.0,0.0,337.0,0.0,623.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,5.0,1231.0,1231.0,647.0,417.0,162.0,910.0,0.0,417.0,1.0,0.0,246.0,80.0,1557.0,958.3204150285828,246.0,910.0,5.0,274.0,647.0,0.0,0.0,417.0,326.0,326.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,0.0,551.0,0.0,417.0,0.0,0.0,0.0,28.0,231.0,711.655694960853,0.0,231.0,1.0,0.0,0.0,0.0,0.0,417.0,231.0,231.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,231.0,743.1708434696594,0.0,134.0,1.0,0.0,97.0,0.0,231.0,0.0,0.0,231.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,1296.0,1296.0,900.0,0.0,139.0,398.0,0.0,0.0,1.0,0.0,260.0,78.0,1296.0,1011.3041718713245,259.0,398.0,4.0,259.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,268.0,349.0,201.0,483.0,0.0,349.0,0.0,0.0,0.0,92.0,750.0,798.594035706463,0.0,483.0,1.0,0.0,267.0,0.0,0.0,348.0,0.0,750.0,0.0,1.0,0.0
0.0,0.0,603.0,1.0,0.0,1.0,0.0,0.0,405.0,64.0,198.0,198.0,0.0,64.0,0.0,0.0,0.0,74.0,603.0,844.2366646014949,0.0,198.0,1.0,0.0,405.0,0.0,0.0,65.0,0.0,603.0,1.0,1.0,0.0
0.0,948.0,603.0,0.0,0.0,1.0,0.0,0.0,303.0,165.0,201.0,299.0,0.0,165.0,0.0,948.0,0.0,74.0,603.0,810.5480575611468,0.0,299.0,1.0,0.0,304.0,1.0,0.0,165.0,0.0,603.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,150.0,104.0,201.0,238.0,0.0,104.0,0.0,0.0,0.0,35.0,389.0,754.3041129423528,0.0,238.0,2.0,0.0,151.0,0.0,0.0,104.0,389.0,389.0,1.0,1.0,0.0
0.0,403.0,0.0,0.0,0.0,4.0,1290.0,1290.0,807.0,85.0,208.0,482.0,0.0,85.0,1.0,403.0,258.0,77.0,1290.0,981.9624818750046,258.0,482.0,4.0,343.0,808.0,0.0,0.0,85.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,1113.0,1113.0,495.0,417.0,142.0,773.0,0.0,417.0,1.0,0.0,223.0,92.0,1268.0,866.5032035168679,222.0,773.0,3.0,274.0,495.0,0.0,0.0,417.0,0.0,155.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,812.0,812.0,0.0,387.0,170.0,842.0,0.0,417.0,1.0,0.0,162.0,99.0,812.0,711.655694960853,162.0,812.0,1.0,212.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,95.0,0.0,0.0,1.0,589.0,589.0,547.0,228.0,201.0,492.0,0.0,228.0,1.0,0.0,118.0,127.0,1041.0,869.2314375616089,117.0,492.0,1.0,175.0,549.0,1.0,0.0,229.0,0.0,452.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,255.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,28.0,389.0,788.258696840136,0.0,134.0,3.0,0.0,255.0,0.0,0.0,0.0,389.0,389.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,852.0,852.0,125.0,417.0,139.0,726.0,2.0,417.0,1.0,0.0,170.0,51.0,852.0,760.2697129613572,170.0,726.0,4.0,170.0,126.0,0.0,0.0,417.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,417.0,0.0,0.0,0.0,12.0,170.0,704.5805438707989,0.0,170.0,3.0,0.0,0.0,0.0,0.0,417.0,120.0,170.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
